lat,lon,alt,timestamp,ecef_x,ecef_y,ecef_z
22.30115538,114.17900033,6.5958929,1556456301.0,-2418178.111421435,5385969.029692094,2405301.810792346
22.3011553,114.17900034,6.58528151,1556456302.0,-2418178.1097171595,5385969.02338042,2405301.798569449
22.30115521,114.17900036,6.57434173,1556456303.0,-2418178.109000579,5385969.016752869,2405301.7851974196
22.30115514,114.17900036,6.56362493,1556456304.0,-2418178.1061442136,5385969.010390934,2405301.77395904
22.30115507,114.17900037,6.55334213,1556456305.0,-2418178.1043923427,5385969.003973257,2405301.762885353
22.30115501,114.17900038,6.54357992,1556456306.0,-2418178.102665638,5385968.997611632,2405301.7530337344
22.30115495,114.17900039,6.53439194,1556456307.0,-2418178.1011565384,5385968.991734676,2405301.7434000215
22.3011549,114.17900039,6.5258461,1556456308.0,-2418178.098778638,5385968.986438418,2405301.7350345026
22.30115486,114.1790004,6.51800726,1556456309.0,-2418178.097436573,5385968.980933493,2405301.7279617894
22.30115482,114.17900041,6.51090777,1556456310.0,-2418178.096374686,5385968.9760526065,2405301.7211696417
22.30115478,114.17900041,6.50446095,1556456311.0,-2418178.0946201007,5385968.9721446475,2405301.714625166
22.30115474,114.17900042,6.49862907,1556456312.0,-2418178.0940385764,5385968.968333666,2405301.708314043
22.30115471,114.17900042,6.49331445,1556456313.0,-2418178.092540928,5385968.964997979,2405301.703223726
22.30115468,114.17900043,6.4885035,1556456314.0,-2418178.092174176,5385968.961665353,2405301.698324539
22.30115465,114.17900043,6.48413343,1556456315.0,-2418178.0910344673,5385968.959126897,2405301.693592654
22.30115462,114.17900043,6.48005939,1556456316.0,-2418178.090006939,5385968.956838301,2405301.688973105
22.30115459,114.17900044,6.4762136,1556456317.0,-2418178.090005935,5385968.954320303,2405301.6844401723
22.30115456,114.17900045,6.47259239,1556456318.0,-2418178.0900900387,5385968.951991862,2405301.679992462
22.30115454,114.17900046,6.46921801,1556456319.0,-2418178.0900955643,5385968.949488406,2405301.6766629345
22.30115451,114.17900046,6.46606653,1556456320.0,-2418178.0894176424,5385968.947978483,2405301.6723934747
22.30115449,114.17900047,6.46312189,1556456321.0,-2418178.08958602,5385968.945837742,2405301.669227022
22.30115446,114.17900048,6.46040102,1556456322.0,-2418178.0900113075,5385968.944269217,2405301.665120968
22.30115444,114.17900049,6.45790045,1556456323.0,-2418178.090347966,5385968.9425032865,2405301.6621230296
22.30115442,114.1790005,6.45558772,1556456324.0,-2418178.0907558063,5385968.9408959,2405301.659196371
22.30115438,114.17900049,6.4534188,1556456325.0,-2418178.089682312,5385968.941020686,2405301.6542752497
22.30114957,114.17899578,6.37570337,1556456326.0,-2418177.700264591,5385969.258601244,2405301.131991223
